Fecha,C. Activos,H. Pendientes,H. PCR Realizados en el día,H. Antígenos realizados en el día,Total H. realizados,Casos positivos del día,Total Casos,Total casos Negativos,Altas aislamiento en el día,P. actuales en aisl. Domc.,P. actuales en aisl. Hosp.,Total recuperados,Fallecidos
08/01/20,0,0,0,,,,,,,,,,
08/02/20,0,0,0,,,,,,,,,,
08/03/20,0,0,0,,,,,,,,,,
08/04/20,0,0,0,,,,,,,,,,
08/05/20,0,0,0,,,,,,,,,,
08/06/20,0,0,0,,,,,,,,,,
08/07/20,0,0,0,,,,,,,,,,
08/08/20,0,0,0,,,,,,,,,,
08/09/20,0,0,0,,,,,,,,,,
08/10/20,0,0,0,,,,,,,,,,
08/11/20,0,0,0,,,,,,,,,,
08/12/20,0,0,0,,,,,,,,,,
08/13/20,0,0,0,,,,,,,,,,
08/14/20,0,0,0,,,,,,,,,,
08/15/20,0,0,0,,,,,,,,,,
08/16/20,0,0,0,,,,,,,,,,
08/17/20,0,0,0,,,,,,,,,,
08/18/20,0,0,0,,,,,,,,,,
08/19/20,0,0,0,,,,,,,,,,
08/20/20,0,0,0,,,,,,,,,,
08/21/20,0,0,0,,,,,,,,,,
08/22/20,0,0,0,,,,,,,,,,
08/23/20,0,21,0,68,83,,,62,72,7,,,
08/24/20,0,0,0,,,,,,,,,,
08/25/20,0,0,0,,,,,,,,,,
08/26/20,0,0,0,,,,,,,,,,
08/27/20,0,0,0,,,,,,,,,,
08/28/20,0,0,0,,,,,,,,,,
08/29/20,0,0,0,,,,,,,,,,
08/30/20,0,0,0,,,,,,,,,,
08/31/20,0,0,0,,,,,,,,,,
09/01/20,0,0,0,,,,,,,,,,
09/02/20,0,0,0,,,,,,,,,,
09/03/20,0,0,0,,,,,,,,,,
09/04/20,0,0,0,,,,,,,,,,
09/05/20,0,0,0,,,,,,,,,,
09/06/20,0,0,0,,,,,,,,,,
09/07/20,0,0,0,,,,,,,,,,
09/08/20,0,0,0,,,,,,,,,,
09/09/20,0,0,0,,,,,,,,,,
09/10/20,0,0,0,,,,,,,,,,
09/11/20,0,0,0,,,,,,,,,,
09/12/20,0,0,0,,,,,,,,,,
09/13/20,0,0,0,,,,,,,,,,
09/14/20,0,0,0,,,,,,,,,,
09/15/20,0,0,0,,,,,,,,,,
09/16/20,0,0,0,,,,,,,,,,
09/17/20,0,0,0,,,,,,,,,,
09/18/20,0,0,0,,,,,,,,,,
09/19/20,0,0,0,,,,,,,,,,
09/20/20,0,0,0,,,,,,,,,,
09/21/20,0,0,0,,,,,,,,,,
09/22/20,0,0,0,,,,,,,,,,
09/23/20,9,12,2,,,1,,9,41,385,1,0,0
09/24/20,10,19,9,,,1,,7,36,349,1,0,0
09/25/20,13,0,0,,,3,,20,248,253,2,0,0
09/26/20,15,17,17,,,2,,0,264,252,2,0,0
09/27/20,13,17,0,,,0,,0,28,230,2,2,0
09/28/20,15,10,10,0,149,2,17,15,50,180,2,2,0
09/29/20,16,0,0,0,149,2,19,8,32,174,2,3,0
09/30/20,16,13,13,0,162,1,20,0,4,172,2,4,0
10/01/20,16,13,0,0,162,0,20,0,10,180,1,4,0
10/02/20,16,13,0,0,162,0,20,0,15,188,1,4,0
10/03/20,16,18,5,0,167,0,20,0,10,180,3,4,0
10/04/20,14,13,0,0,167,0,20,5,18,165,1,6,0
10/05/20,11,5,3,0,170,3,23,8,62,108,2,12,0
10/06/20,10,4,0,0,170,1,24,0,14,116,2,14,1
10/07/20,8,7,3,0,173,0,24,0,17,105,1,16,1
10/08/20,8,3,0,0,173,1,25,3,33,76,2,17,1
10/09/20,7,0,0,0,173,0,25,3,6,72,3,18,1
10/10/20,6,0,0,0,173,0,25,0,6,79,3,19,1
10/11/20,6,0,0,0,173,0,25,0,0,124,2,19,1
10/12/20,5,0,0,0,173,0,26,0,39,103,1,19,2
10/13/20,5,10,10,0,183,0,26,0,0,106,1,19,2
10/14/20,4,14,4,0,187,0,26,0,0,105,1,20,2
10/15/20,6,4,0,0,187,2,28,8,0,110,0,20,2
10/16/20,6,8,7,0,194,1,29,2,48,74,0,21,2
10/17/20,8,2,0,0,194,2,31,4,13,81,0,21,2
10/18/20,8,8,6,0,200,0,31,0,0,87,0,21,2
10/19/20,11,1,0,0,200,4,35,3,22,81,0,22,2
10/20/20,12,8,8,0,208,2,37,0,21,124,0,23,2
10/21/20,14,14,6,0,214,2,39,0,2,145,2,23,2
10/22/20,13,18,4,0,218,0,39,0,34,131,1,24,2
10/23/20,13,23,5,0,223,1,40,0,6,145,1,25,2
10/24/20,15,18,0,0,223,3,43,2,6,144,1,26,2
10/25/20,17,20,5,0,228,4,47,1,19,129,1,28,2
10/26/20,16,15,1,0,229,3,50,3,6,131,0,31,3
10/27/20,17,7,2,0,231,2,52,13,13,162,0,32,3
10/28/20,19,4,4,0,235,2,54,5,26,183,0,32,3
10/29/20,23,6,6,0,241,4,58,4,61,175,0,32,3
10/30/20,21,6,0,0,241,1,59,8,26,131,1,35,3
10/31/20,21,6,0,0,241,2,61,0,10,179,2,37,3
11/01/20,26,1,0,0,241,5,66,1,31,164,2,37,3
11/02/20,29,5,5,3,249,4,70,0,8,204,3,38,3
11/03/20,29,5,5,7,254,3,73,9,20,243,5,41,3
11/04/20,31,16,11,8,271,3,76,6,41,274,5,42,3
11/05/20,35,21,9,4,280,6,82,3,21,300,4,44,3
11/06/20,35,8,7,5,287,3,85,17,55,266,4,47,3
11/07/20,34,8,0,7,287,1,86,7,41,241,4,49,3
11/08/20,33,9,7,3,294,0,86,9,16,230,4,50,3
11/09/20,32,9,0,0,294,0,86,0,21,235,4,51,3
11/10/20,32,5,4,8,298,3,89,13,36,207,5,54,3
11/11/20,30,6,6,3,304,0,89,8,29,176,3,56,3
11/12/20,28,12,6,0,310,0,89,0,16,161,2,58,3
11/13/20,23,0,0,4,310,1,90,15,11,153,1,64,3
